episode_id,student_group,student_type,student_type_zh,steps_taken,final_mastery,success,mainline_steps,remediation_steps,reached_mastery_step,total_mastery_gain
36,Careless,careless,拔尖組,28,0.812,1,18,10,28,0.2564
37,Careless,careless,拔尖組,7,0.8022,1,7,0,7,0.1194
38,Careless,careless,拔尖組,25,0.8151,1,21,4,25,0.2339
39,Careless,careless,拔尖組,2,0.802,1,2,0,2,0.0884
40,Careless,careless,拔尖組,40,0.7872,0,24,16,,0.1771
41,Careless,careless,拔尖組,12,0.8031,1,8,4,12,0.1547
42,Careless,careless,拔尖組,32,0.817,1,21,11,32,0.2716
43,Careless,careless,拔尖組,24,0.806,1,16,8,24,0.2072
44,Careless,careless,拔尖組,16,0.8047,1,12,4,16,0.1735
45,Careless,careless,拔尖組,0,0.8111,1,0,0,,0.0
46,Careless,careless,拔尖組,21,0.8136,1,13,8,21,0.1751
47,Careless,careless,拔尖組,23,0.8053,1,15,8,23,0.2149
48,Careless,careless,拔尖組,4,0.8037,1,3,1,4,0.0729
49,Careless,careless,拔尖組,26,0.811,1,18,8,26,0.234
50,Careless,careless,拔尖組,24,0.8188,1,14,10,24,0.1654
51,Careless,careless,拔尖組,6,0.8066,1,6,0,6,0.1197
52,Careless,careless,拔尖組,12,0.8064,1,8,4,12,0.1383
53,Careless,careless,拔尖組,10,0.8381,1,10,0,10,0.1502
54,Careless,careless,拔尖組,30,0.8008,1,18,12,30,0.2077
55,Careless,careless,拔尖組,10,0.8145,1,8,2,10,0.1563
56,Careless,careless,拔尖組,15,0.8047,1,11,4,15,0.2157
57,Careless,careless,拔尖組,11,0.8023,1,9,2,11,0.1177
58,Careless,careless,拔尖組,20,0.8049,1,14,6,20,0.1618
59,Careless,careless,拔尖組,18,0.8082,1,14,4,18,0.2018
60,Careless,careless,拔尖組,3,0.8175,1,2,1,3,0.0325
61,Careless,careless,拔尖組,17,0.8053,1,9,8,17,0.1368
62,Careless,careless,拔尖組,1,0.8065,1,1,0,1,0.0392
63,Careless,careless,拔尖組,21,0.8258,1,13,8,21,0.1747
64,Careless,careless,拔尖組,15,0.8119,1,8,7,15,0.118
65,Careless,careless,拔尖組,24,0.8059,1,16,8,24,0.1772
66,Careless,careless,拔尖組,15,0.8134,1,11,4,15,0.165
67,Careless,careless,拔尖組,15,0.8015,1,10,5,15,0.1169
68,Careless,careless,拔尖組,9,0.8032,1,9,0,9,0.1785
69,Careless,careless,拔尖組,12,0.8103,1,10,2,12,0.1778
70,Careless,careless,拔尖組,4,0.8032,1,4,0,4,0.1048
71,Careless,careless,拔尖組,15,0.8133,1,11,4,15,0.1311
72,Careless,careless,拔尖組,40,0.7731,0,22,18,,0.303
73,Careless,careless,拔尖組,18,0.8144,1,16,2,18,0.1927
74,Careless,careless,拔尖組,20,0.815,1,16,4,20,0.2149
75,Careless,careless,拔尖組,12,0.8034,1,10,2,12,0.1939
76,Careless,careless,拔尖組,13,0.8075,1,9,4,13,0.0998
77,Careless,careless,拔尖組,19,0.8163,1,11,8,19,0.1031
78,Careless,careless,拔尖組,5,0.8047,1,5,0,5,0.0622
79,Careless,careless,拔尖組,17,0.8084,1,11,6,17,0.1028
80,Careless,careless,拔尖組,20,0.8032,1,14,6,20,0.1981
81,Careless,careless,拔尖組,28,0.8124,1,18,10,28,0.2641
82,Careless,careless,拔尖組,28,0.8043,1,18,10,28,0.2274
83,Careless,careless,拔尖組,9,0.8012,1,9,0,9,0.1579
84,Careless,careless,拔尖組,24,0.827,1,18,6,24,0.2567
85,Careless,careless,拔尖組,22,0.8055,1,12,10,22,0.1647
86,Careless,careless,拔尖組,16,0.804,1,13,3,16,0.1845
87,Careless,careless,拔尖組,14,0.8011,1,12,2,14,0.1765
88,Careless,careless,拔尖組,2,0.806,1,2,0,2,0.0745
89,Careless,careless,拔尖組,15,0.8151,1,11,4,15,0.1361
90,Careless,careless,拔尖組,16,0.8154,1,10,6,16,0.0632
91,Careless,careless,拔尖組,3,0.8265,1,3,0,3,0.0804
92,Careless,careless,拔尖組,10,0.8305,1,8,2,10,0.0917
93,Careless,careless,拔尖組,6,0.8019,1,4,2,6,0.0607
94,Careless,careless,拔尖組,24,0.8051,1,14,10,24,0.263
95,Careless,careless,拔尖組,10,0.8341,1,8,2,10,0.1479
96,Careless,careless,拔尖組,7,0.8068,1,5,2,7,0.0931
97,Careless,careless,拔尖組,8,0.823,1,8,0,8,0.1341
98,Careless,careless,拔尖組,10,0.8132,1,10,0,10,0.1682
99,Careless,careless,拔尖組,40,0.4789,0,18,22,,-0.1049
100,Careless,careless,拔尖組,12,0.8115,1,10,2,12,0.1629
101,Average,average,固本組,28,0.8016,1,18,10,28,0.2562
102,Average,average,固本組,35,0.802,1,25,10,35,0.2782
103,Average,average,固本組,30,0.8073,1,22,8,30,0.2803
104,Average,average,固本組,31,0.8097,1,21,10,31,0.2884
105,Average,average,固本組,23,0.8141,1,19,4,23,0.2898
106,Average,average,固本組,32,0.8145,1,24,8,32,0.3039
107,Average,average,固本組,32,0.8091,1,22,10,32,0.2765
108,Average,average,固本組,32,0.8055,1,22,10,32,0.2816
109,Average,average,固本組,40,0.8125,1,30,10,40,0.2827
110,Average,average,固本組,22,0.802,1,16,6,22,0.2666
111,Average,average,固本組,40,0.746,0,22,18,,0.2451
112,Average,average,固本組,35,0.8046,1,25,10,35,0.2907
113,Average,average,固本組,28,0.8085,1,18,10,28,0.2938
114,Average,average,固本組,29,0.8084,1,19,10,29,0.2887
115,Average,average,固本組,33,0.8075,1,27,6,33,0.2965
116,Average,average,固本組,24,0.8051,1,18,6,24,0.287
117,Average,average,固本組,30,0.816,1,20,10,30,0.2954
118,Average,average,固本組,27,0.805,1,21,6,27,0.2748
119,Average,average,固本組,19,0.8103,1,19,0,19,0.2828
120,Average,average,固本組,40,0.7705,0,28,12,,0.2617
121,Average,average,固本組,32,0.8181,1,22,10,32,0.2887
122,Average,average,固本組,28,0.8051,1,20,8,28,0.2758
123,Average,average,固本組,21,0.8108,1,19,2,21,0.2799
124,Average,average,固本組,25,0.8062,1,21,4,25,0.278
125,Average,average,固本組,25,0.8105,1,23,2,25,0.3053
126,Average,average,固本組,33,0.8222,1,21,12,33,0.2796
127,Average,average,固本組,25,0.8131,1,19,6,25,0.2784
128,Average,average,固本組,38,0.8021,1,24,14,38,0.2692
129,Average,average,固本組,23,0.8061,1,21,2,23,0.2853
130,Average,average,固本組,29,0.8026,1,21,8,29,0.272
131,Average,average,固本組,24,0.8109,1,22,2,24,0.2975
132,Average,average,固本組,18,0.8022,1,16,2,18,0.2573
133,Average,average,固本組,25,0.8043,1,19,6,25,0.2969
134,Average,average,固本組,33,0.8005,1,25,8,33,0.2739
135,Average,average,固本組,26,0.8023,1,20,6,26,0.2548
136,Average,average,固本組,28,0.8062,1,20,8,28,0.2721
137,Average,average,固本組,40,0.7779,0,24,16,,0.2555
138,Average,average,固本組,33,0.8006,1,21,12,33,0.2829
139,Average,average,固本組,35,0.8128,1,21,14,35,0.2993
140,Average,average,固本組,28,0.809,1,20,8,28,0.2865
141,Average,average,固本組,40,0.6325,0,18,22,,0.1173
142,Average,average,固本組,25,0.8173,1,19,6,25,0.2968
143,Average,average,固本組,25,0.8122,1,23,2,25,0.2903
144,Average,average,固本組,35,0.8011,1,23,12,35,0.2757
145,Average,average,固本組,28,0.8001,1,22,6,28,0.2888
146,Average,average,固本組,30,0.8013,1,23,7,30,0.2517
147,Average,average,固本組,24,0.8062,1,20,4,24,0.2694
148,Average,average,固本組,28,0.8158,1,22,6,28,0.2749
149,Average,average,固本組,37,0.813,1,27,10,37,0.2883
150,Average,average,固本組,28,0.8061,1,22,6,28,0.2891
151,Average,average,固本組,29,0.8099,1,17,12,29,0.2871
152,Average,average,固本組,40,0.7474,0,24,16,,0.2366
153,Average,average,固本組,31,0.8035,1,23,8,31,0.264
154,Average,average,固本組,28,0.8026,1,22,6,28,0.2678
155,Average,average,固本組,16,0.8213,1,16,0,16,0.2932
156,Average,average,固本組,30,0.8217,1,26,4,30,0.3012
157,Average,average,固本組,24,0.8044,1,20,4,24,0.2715
158,Average,average,固本組,34,0.8055,1,24,10,34,0.2757
159,Average,average,固本組,31,0.8059,1,23,8,31,0.2956
160,Average,average,固本組,23,0.8038,1,17,6,23,0.2586
161,Average,average,固本組,33,0.8054,1,25,8,33,0.304
162,Average,average,固本組,29,0.8076,1,19,10,29,0.2943
163,Average,average,固本組,24,0.805,1,20,4,24,0.2741
164,Average,average,固本組,28,0.807,1,20,8,28,0.266
165,Average,average,固本組,31,0.8004,1,27,4,31,0.2779
166,Average,average,固本組,40,0.805,1,26,14,40,0.2836
167,Average,average,固本組,40,0.7546,0,23,17,,0.2216
168,Average,average,固本組,37,0.8102,1,25,12,37,0.3053
169,Average,average,固本組,27,0.807,1,17,10,27,0.2592
170,Average,average,固本組,40,0.7882,0,30,10,,0.2681
171,Average,average,固本組,22,0.8176,1,20,2,22,0.2796
172,Average,average,固本組,25,0.8222,1,20,5,25,0.3124
173,Average,average,固本組,19,0.8077,1,19,0,19,0.2737
174,Average,average,固本組,40,0.7594,0,26,14,,0.242
175,Average,average,固本組,33,0.8252,1,23,10,33,0.3059
176,Average,average,固本組,27,0.8166,1,23,4,27,0.2896
177,Average,average,固本組,24,0.8111,1,20,4,24,0.2684
178,Average,average,固本組,26,0.8149,1,18,8,26,0.2764
179,Average,average,固本組,34,0.8014,1,22,12,34,0.2777
180,Average,average,固本組,28,0.8117,1,20,8,28,0.2665
181,Average,average,固本組,19,0.8013,1,19,0,19,0.2917
182,Average,average,固本組,27,0.8028,1,21,6,27,0.2672
183,Average,average,固本組,31,0.8174,1,25,6,31,0.2935
184,Average,average,固本組,32,0.8011,1,22,10,32,0.2694
185,Average,average,固本組,21,0.8071,1,17,4,21,0.2842
186,Average,average,固本組,24,0.808,1,18,6,24,0.2847
187,Average,average,固本組,27,0.8115,1,23,4,27,0.2945
188,Average,average,固本組,22,0.8129,1,20,2,22,0.2943
189,Average,average,固本組,31,0.8048,1,23,8,31,0.2872
190,Average,average,固本組,28,0.8103,1,22,6,28,0.2973
191,Average,average,固本組,25,0.8035,1,21,4,25,0.2452
192,Average,average,固本組,30,0.8138,1,22,8,30,0.285
193,Average,average,固本組,29,0.8016,1,22,7,29,0.2836
194,Average,average,固本組,24,0.8012,1,18,6,24,0.2695
195,Average,average,固本組,28,0.8113,1,20,8,28,0.2951
196,Average,average,固本組,24,0.806,1,20,4,24,0.294
197,Average,average,固本組,25,0.8055,1,19,6,25,0.2605
198,Average,average,固本組,30,0.8001,1,20,10,30,0.2913
199,Average,average,固本組,40,0.4066,0,16,24,,-0.0979
200,Average,average,固本組,29,0.8139,1,23,6,29,0.2966
201,Weak,weak,減C組,40,0.4423,0,18,22,,0.1222
202,Weak,weak,減C組,40,0.3626,0,16,24,,0.0504
203,Weak,weak,減C組,40,0.2329,0,14,26,,-0.0402
204,Weak,weak,減C組,40,0.5256,0,20,20,,0.2279
205,Weak,weak,減C組,40,0.4515,0,20,20,,0.1362
206,Weak,weak,減C組,40,0.3634,0,14,26,,0.0559
207,Weak,weak,減C組,40,0.544,0,20,20,,0.2366
208,Weak,weak,減C組,40,0.7458,0,26,14,,0.4646
209,Weak,weak,減C組,40,0.6547,0,22,18,,0.3505
210,Weak,weak,減C組,40,0.6087,0,22,18,,0.2982
211,Weak,weak,減C組,40,0.5934,0,24,16,,0.3114
212,Weak,weak,減C組,40,0.3277,0,16,24,,0.0431
213,Weak,weak,減C組,40,0.3333,0,16,24,,0.0441
214,Weak,weak,減C組,40,0.5314,0,22,18,,0.2373
215,Weak,weak,減C組,40,0.3839,0,18,22,,0.083
216,Weak,weak,減C組,40,0.3333,0,19,21,,0.0492
217,Weak,weak,減C組,40,0.6265,0,26,14,,0.3012
218,Weak,weak,減C組,40,0.5738,0,22,18,,0.2641
219,Weak,weak,減C組,40,0.667,0,22,18,,0.3585
220,Weak,weak,減C組,40,0.5968,0,24,16,,0.3422
221,Weak,weak,減C組,40,0.697,0,28,12,,0.378
222,Weak,weak,減C組,40,0.7814,0,30,10,,0.474
223,Weak,weak,減C組,40,0.7041,0,28,12,,0.3721
224,Weak,weak,減C組,40,0.3525,0,21,19,,0.0703
225,Weak,weak,減C組,40,0.7118,0,26,14,,0.3985
226,Weak,weak,減C組,40,0.3291,0,14,26,,0.0717
227,Weak,weak,減C組,40,0.4709,0,19,21,,0.1492
228,Weak,weak,減C組,40,0.5537,0,20,20,,0.2761
229,Weak,weak,減C組,40,0.642,0,23,17,,0.3755
230,Weak,weak,減C組,40,0.4929,0,20,20,,0.1686
231,Weak,weak,減C組,40,0.4133,0,18,22,,0.106
232,Weak,weak,減C組,40,0.4991,0,16,24,,0.197
233,Weak,weak,減C組,40,0.2431,0,17,23,,-0.0421
234,Weak,weak,減C組,40,0.5215,0,20,20,,0.2395
235,Weak,weak,減C組,40,0.4298,0,20,20,,0.1524
236,Weak,weak,減C組,40,0.7509,0,25,15,,0.4352
237,Weak,weak,減C組,40,0.3561,0,22,18,,0.0959
238,Weak,weak,減C組,40,0.38,0,17,23,,0.069
239,Weak,weak,減C組,40,0.4927,0,22,18,,0.1855
240,Weak,weak,減C組,40,0.569,0,26,14,,0.3116
241,Weak,weak,減C組,40,0.3076,0,16,24,,-0.0164
242,Weak,weak,減C組,40,0.2918,0,18,22,,0.0244
243,Weak,weak,減C組,40,0.2658,0,15,25,,-0.05
244,Weak,weak,減C組,40,0.2964,0,15,25,,0.0149
245,Weak,weak,減C組,40,0.3079,0,16,24,,-0.0036
246,Weak,weak,減C組,40,0.2933,0,18,22,,0.0105
247,Weak,weak,減C組,40,0.4462,0,18,22,,0.1347
248,Weak,weak,減C組,40,0.3079,0,16,24,,-0.0283
249,Weak,weak,減C組,40,0.3889,0,18,22,,0.0551
250,Weak,weak,減C組,40,0.5198,0,22,18,,0.1898
251,Weak,weak,減C組,40,0.6889,0,24,16,,0.3762
252,Weak,weak,減C組,40,0.7724,0,32,8,,0.4811
253,Weak,weak,減C組,40,0.3732,0,17,23,,0.1031
254,Weak,weak,減C組,40,0.6668,0,24,16,,0.3351
255,Weak,weak,減C組,40,0.1868,0,14,26,,-0.0866
256,Weak,weak,減C組,40,0.2996,0,14,26,,0.0007
257,Weak,weak,減C組,40,0.2833,0,18,22,,0.0526
258,Weak,weak,減C組,40,0.3492,0,20,20,,0.0892
259,Weak,weak,減C組,40,0.559,0,20,20,,0.2623
260,Weak,weak,減C組,40,0.3759,0,18,22,,0.058
261,Weak,weak,減C組,40,0.5593,0,22,18,,0.2551
262,Weak,weak,減C組,40,0.5313,0,22,18,,0.2201
263,Weak,weak,減C組,40,0.4877,0,20,20,,0.1756
264,Weak,weak,減C組,40,0.5389,0,18,22,,0.2465
265,Weak,weak,減C組,40,0.5212,0,24,16,,0.2732
266,Weak,weak,減C組,40,0.5208,0,20,20,,0.2205
267,Weak,weak,減C組,40,0.6108,0,20,20,,0.3163
268,Weak,weak,減C組,40,0.4939,0,20,20,,0.2051
269,Weak,weak,減C組,40,0.6727,0,28,12,,0.3407
270,Weak,weak,減C組,40,0.4395,0,18,22,,0.1748
271,Weak,weak,減C組,40,0.3073,0,16,24,,0.0283
272,Weak,weak,減C組,40,0.5936,0,22,18,,0.2441
273,Weak,weak,減C組,40,0.7586,0,24,16,,0.4121
274,Weak,weak,減C組,40,0.6907,0,26,14,,0.3412
275,Weak,weak,減C組,40,0.5053,0,18,22,,0.2073
276,Weak,weak,減C組,40,0.4843,0,19,21,,0.238
277,Weak,weak,減C組,40,0.3364,0,15,25,,0.0456
278,Weak,weak,減C組,36,0.8079,1,26,10,36,0.4843
279,Weak,weak,減C組,40,0.4347,0,20,20,,0.1435
280,Weak,weak,減C組,40,0.3321,0,16,24,,0.0181
281,Weak,weak,減C組,40,0.6307,0,22,18,,0.2999
282,Weak,weak,減C組,40,0.4002,0,20,20,,0.1046
283,Weak,weak,減C組,40,0.3497,0,14,26,,0.0715
284,Weak,weak,減C組,40,0.4094,0,20,20,,0.1422
285,Weak,weak,減C組,40,0.6536,0,28,12,,0.3708
286,Weak,weak,減C組,40,0.4758,0,20,20,,0.2229
287,Weak,weak,減C組,40,0.4174,0,18,22,,0.1077
288,Weak,weak,減C組,40,0.3211,0,17,23,,0.0058
289,Weak,weak,減C組,40,0.3637,0,19,21,,0.0693
290,Weak,weak,減C組,40,0.7686,0,22,18,,0.476
291,Weak,weak,減C組,40,0.3503,0,15,25,,0.0389
292,Weak,weak,減C組,40,0.6908,0,22,18,,0.355
293,Weak,weak,減C組,40,0.4009,0,17,23,,0.1442
294,Weak,weak,減C組,40,0.5265,0,22,18,,0.209
295,Weak,weak,減C組,40,0.4722,0,19,21,,0.1393
296,Weak,weak,減C組,40,0.2327,0,17,23,,-0.0428
297,Weak,weak,減C組,40,0.4194,0,20,20,,0.1187
298,Weak,weak,減C組,40,0.2492,0,14,26,,-0.0519
299,Weak,weak,減C組,40,0.2809,0,14,26,,0.005
300,Weak,weak,減C組,40,0.222,0,14,26,,-0.0718
