strategy,student_type,episode_id,step,effective_max_steps,phase,route,focus_skill,target_skill,active_skill,active_family,hit_subskill,progression_gate_active,foundation_mastery_mean,polynomial_mastery,mastery_before,mastery_after,integer_mastery,fraction_mastery,radical_mastery,zpd_gain_scale,weakest_subskill_mastery,prerequisite_transfer_bonus,rag_triggered,rag_bonus,rag_intervention_count,rag_tier,rag_decay_factor,rag_bonus_after_decay,is_correct,correct,was_remediation,was_unnecessary_remediation,is_return_to_mainline,fail_streak,sign_handling_mastery,combine_like_terms_mastery,sign_distribution_mastery,expand_monomial_mastery,expand_binomial_mastery,family_isomorphism_mastery
AB3_PPO_Dynamic,Careless,2,23,40,mainline,mainline,expand_binomial,polynomial,polynomial,poly_mul_poly,expand_binomial,False,,0.747922,0.73653,0.747922,0.802534,0.704829,0.788609,1.2,0.704829,0.0,0,0.0,0,,1.0,0.0,1,1,0,0,1,0,0.835865,0.724761,0.799472,0.719672,0.788609,0.704829
AB3_PPO_Dynamic,Careless,2,24,40,mainline,mainline,family_isomorphism,polynomial,polynomial,poly_mixed_simplify,family_isomorphism,False,,0.76239,0.747922,0.76239,0.807596,0.772329,0.788609,0.75,0.719672,0.0,0,0.0,0,,1.0,0.0,1,1,0,0,0,0,0.835865,0.741636,0.799472,0.719672,0.788609,0.772329
AB3_PPO_Dynamic,Careless,2,25,40,mainline,mainline,expand_monomial,polynomial,polynomial,poly_mul_monomial,expand_monomial,False,,0.775475,0.76239,0.775475,0.807596,0.772329,0.788609,0.75,0.741636,0.0,0,0.0,0,,1.0,0.0,1,1,0,0,0,0,0.835865,0.741636,0.799472,0.787172,0.788609,0.772329
AB3_PPO_Dynamic,Careless,2,26,40,mainline,mainline,combine_like_terms,polynomial,polynomial,poly_add_sub_flat,combine_like_terms,False,,0.799019,0.775475,0.799019,0.82878,0.772329,0.788609,0.75,0.772329,0.006227,0,0.0,0,,1.0,0.0,1,1,0,0,0,0,0.836799,0.81007,0.800406,0.787172,0.788609,0.772329
AB3_PPO_Dynamic,Careless,2,27,40,mainline,mainline,expand_monomial,polynomial,polynomial,poly_mul_monomial,expand_monomial,False,,0.783815,0.799019,0.783815,0.82878,0.772329,0.788609,1.0,0.752172,0.0,0,0.0,0,,1.0,0.0,0,0,0,0,0,1,0.836799,0.81007,0.800406,0.752172,0.788609,0.772329
AB3_PPO_Dynamic,Careless,2,28,40,mainline,mainline,expand_monomial,polynomial,polynomial,poly_mul_monomial,expand_monomial,False,,0.796448,0.783815,0.796448,0.82878,0.772329,0.788609,0.75,0.772329,0.0,0,0.0,0,,1.0,0.0,1,1,0,0,0,0,0.836799,0.81007,0.800406,0.819672,0.788609,0.772329
AB3_PPO_Dynamic,Careless,2,29,40,mainline,mainline,expand_binomial,polynomial,polynomial,poly_mul_poly,expand_binomial,False,,0.794573,0.796448,0.794573,0.82878,0.772329,0.773609,1.0,0.772329,0.0,0,0.0,0,,1.0,0.0,0,0,0,0,0,1,0.836799,0.81007,0.800406,0.819672,0.773609,0.772329
AB3_PPO_Dynamic,Careless,2,30,40,mainline,mainline,expand_binomial,polynomial,polynomial,poly_mul_poly,expand_binomial,False,,0.789268,0.794573,0.789268,0.82878,0.772329,0.758609,1.0,0.758609,0.0,0,0.0,0,,1.0,0.0,0,0,0,0,0,2,0.836799,0.81007,0.800406,0.819672,0.758609,0.772329
AB3_PPO_Dynamic,Careless,2,31,40,remediation,remediation,expand_binomial,polynomial,polynomial,poly_mul_poly,expand_binomial,False,,0.80181,0.789268,0.80181,0.82878,0.772329,0.831509,0.75,0.772329,0.0,0,0.0,0,,1.0,0.0,1,1,1,1,0,0,0.836799,0.81007,0.800406,0.819672,0.831509,0.772329
AB3_PPO_Dynamic,Careless,3,1,40,mainline,mainline,sign_distribution,polynomial,polynomial,poly_add_sub_nested,sign_distribution,False,,0.757075,0.732236,0.757075,0.788726,0.597209,0.837485,1.2,0.597209,0.007527,0,0.0,0,,1.0,0.0,1,1,0,0,0,0,0.732753,0.919329,0.791108,0.924614,0.837485,0.597209
